A 360x38808  B 360x36725  → compare 360x36725, height delta 2083px
  ⚠ height delta 2083px — overlap-crop hides the tail; fix heights before trusting the %
differing pixels: 1698241 / 13221000 = 12.85%  (threshold 10%) → FAIL
diff image: stardust/replica/gates/published-utility-360/diff.png
  y      0–500: 2.2%
  y    500–1000: 8.1%
  y   1000–1500: 12.4%
  y   1500–2000: 14.0%
  y   2000–2500: 12.1%
  y   2500–3000: 13.3%
  y   3000–3500: 11.8%
  y   3500–4000: 13.4%
  y   4000–4500: 13.2%
  y   4500–5000: 11.7%
  y   5000–5500: 12.7%
  y   5500–6000: 11.5%
  y   6000–6500: 12.0%
  y   6500–7000: 11.5%
  y   7000–7500: 13.0%
  y   7500–8000: 12.6%
  y   8000–8500: 12.7%
  y   8500–9000: 12.8%
  y   9000–9500: 11.8%
  y   9500–10000: 11.8%
  y  10000–10500: 12.4%
  y  10500–11000: 10.8%
  y  11000–11500: 13.0%
  y  11500–12000: 12.1%
  y  12000–12500: 10.0%
  y  12500–13000: 12.6%
