A 360x38808  B 360x38623  → compare 360x38623, height delta 185px
  ⚠ height delta 185px — overlap-crop hides the tail; fix heights before trusting the %
differing pixels: 1051087 / 13904280 = 7.56%  (threshold 10%) → PASS
diff image: stardust/replica/gates/published-utility-360/diff6.png
  y      0–500: 1.1%
  y    500–1000: 1.9%
  y   1000–1500: 0.3%
  y   1500–2000: 0.8%
  y   2000–2500: 0.2%
  y   2500–3000: 1.5%
  y   3000–3500: 0.4%
  y   3500–4000: 1.5%
  y   4000–4500: 1.3%
  y   4500–5000: 0.5%
  y   5000–5500: 1.5%
  y   5500–6000: 0.7%
  y   6000–6500: 1.6%
  y   6500–7000: 0.8%
  y   7000–7500: 1.6%
  y   7500–8000: 0.6%
